,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,War
246,2018,France,French, CN7 Productions,95.0,0.0,0.0,Eloïse Lang,0,58.0,Miou-Miou,Camille Cottin,Camille Chamoux,,Hella Joof,Mette Heeno,,652.0,Larguées,0.0,6366790.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2018,USA,English,0,92.0,0.0,161565.0,Marc Fusco,0,81.0,Liza Lapira,Michael B. Silver,Hal Linden,,Marc Fusco,Marc Fusco,,85.0,The Samuel Project,11087302018.0,161565.0,PG-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2018,Chile,Spanish, Bh5,116.0,0.0,0.0,Nicolás López,0,55.0,Paz Bascuñán,Marcial Tagle,Antonia Zegers,,Guillermo Amoedo,Nicolás López,,616.0,No Estoy Loca,0.0,19662.0,TV-MA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2018,Finland,English, Mjölk Movies,124.0,1280000.0,0.0,Paavo Westerberg,0,61.0,Matleena Kuusniemi,Olavi Uusivirta,Kim Bodnia,,Emmi Pesonen,Paavo Westerberg,0,179.0,Viulisti,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
250,2019,Iceland,English, GunHil,83.0,0.0,77815.0,Árni Ásgeirsson,0,52.0,Sean Astin,John Stamos,Debbie Chazen,,Friðrik Erlingsson,0,0,614.0,Lói: Þú Flýgur Aldrei Einn,0.0,6146292.0,   PG,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2018,Japan,Japanese, Filmmakers,109.0,0.0,0.0,Hideki Takeuchi,0,72.0,Haruka Ayase,Kentarô Sakaguchi,Akira Emoto,,Keisuke Uyama,0,0,552.0,"Kon'ya, romansu gekijô de",0.0,10122115.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
252,2018,USA,0, Octet Productions,92.0,0.0,0.0,Mark Harris,0,74.0,Reagan Gomez-Preston,Charles Malik Whitfield,Clifton Powell,,Ytasha Womack,0,0,889.0,Couples' Night,0.0,43259.0,Not Rated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
253,2018,Italy,Italian, Pepito Produzioni,95.0,800000.0,0.0,Damiano D'Innocenzo,Fabio D'Innocenzo,69.0,Andrea Carpenzano,Matteo Olivetti,Milena Mancini,,Damiano D'Innocenzo,Fabio D'Innocenzo,,691.0,La terra dell'abbastanza,0.0,138535.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2018,USA,English, Lucky Films,98.0,1000000.0,25015.0,Norman Gregory McGuire,0,56.0,Jesse James,Mariana Paola Vicente,Burton Gilliam,,Norman Gregory McGuire,0,0,1707.0,The Lucky Man,4956242017.0,25015.0,   R,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
255,2018,Hungary,Hungarian, SKYFILM Studio Ltd.,103.0,0.0,0.0,Gábor Herendi,0,54.0,Csaba Pindroch,Gyözö Szabó,Ferenc Hujber,,Réka Divinyi,Gábor Herendi,0,1154.0,Valami Amerika 3,0.0,2078058.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
