,Year,country,language,production_co,runtime,budget,gross_usa,director_0,director_1,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,mpaa_rating,Adventure,Animation,Biography,Comedy,Crime,Drama,Film-Noir,Horror,Mystery,Western,Action,Family,Fantasy,History,Music,Musical,Romance,Sci-Fi,Sport,Thriller,War
179,1964,Japan,Japanese, Shochiku,133.0,0.0,0.0,Masaki Kobayashi,0,87.0,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,,Yasuhiko Takiguchi,Shinobu Hashimoto,0,28539.0,Harakiri,0.0,15222.0,Not Rated,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,1952,USA,English, Metro-Goldwyn-Mayer (MGM),103.0,2540800.0,1826108.0,Stanley Donen,Gene Kelly,83.0,Gene Kelly,Donald O'Connor,Debbie Reynolds,,Betty Comden,Adolph Green,0,203373.0,Singin' in the Rain,13643102002.0,1864182.0,   G,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
181,1980,USA,English, Brooksfilms,124.0,5000000.0,26010864.0,David Lynch,0,81.0,Anthony Hopkins,John Hurt,Anne Bancroft,,Christopher De Vore,Eric Bergren,,205264.0,The Elephant Man,0.0,26010864.0,   PG,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1990,Italy,Italian, Cristaldifilm,155.0,5000000.0,12397210.0,Giuseppe Tornatore,0,85.0,Philippe Noiret,Enzo Cannavale,Antonella Attili,,Giuseppe Tornatore,Giuseppe Tornatore,,209477.0,Cinema Paradiso,1655241990.0,12645096.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1984,West Germany,English, Road Movies Filmproduktion,145.0,1162000.0,2181987.0,Wim Wenders,0,81.0,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,,L.M. Kit Carson,Sam Shepard,,78488.0,"Paris, Texas",0.0,2206121.0,   R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,1949,USA,English, Warner Bros.,114.0,1300000.0,0.0,Raoul Walsh,0,82.0,James Cagney,Virginia Mayo,Edmond O'Brien,,Ivan Goff,Ben Roberts,,26263.0,White Heat,0.0,5534.0,Not Rated,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2001,Hong Kong,Cantonese, Block 2 Pictures,98.0,0.0,2738980.0,Kar-Wai Wong,0,81.0,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,,Kar-Wai Wong,0,0,110392.0,In the Mood for Love,11328042001.0,12854953.0,   PG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
186,1990,Japan,Japanese, Tokuma Japan Communications,86.0,3700000.0,2250213.0,Hayao Miyazaki,0,82.0,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,,Hayao Miyazaki,0,0,248263.0,My Neighbor Totoro,539245302018.0,30476708.0,   G,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
187,2011,Iran,Persian, Asghar Farhadi Productions,123.0,500000.0,7099055.0,Asghar Farhadi,0,83.0,Payman Maadi,Leila Hatami,Sareh Bayat,,Asghar Farhadi,0,0,203916.0,A Separation,5948112012.0,19899055.0,PG-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1960,USA,English, The Mirisch Corporation,125.0,3000000.0,0.0,Billy Wilder,0,83.0,Jack Lemmon,Shirley MacLaine,Fred MacMurray,,Billy Wilder,I.A.L. Diamond,0,149603.0,The Apartment,0.0,177066.0,Not Rated,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189,2014,Argentina,Spanish, Corner Producciones,122.0,3300000.0,3106530.0,Damián Szifron,0,81.0,Darío Grandinetti,María Marull,Mónica Villa,,Germán Servidio,Damián Szifron,0,157620.0,Relatos salvajes,85100222015.0,27006530.0,   R,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,2010,UK,English, Stage 6 Films,93.0,16000000.0,0.0,Lasse Hallström,0,81.0,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,,Stephen P. Lindsey,Kaneto Shindô,0,231588.0,Hachi: A Dog's Tale,0.0,46672750.0,   G,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
